run,type,module,name,attrname,attrvalue,value,count,sumweights,mean,stddev,min,max,binedges,binvalues
General-0-20220829-17:02:36-12114,scalar,CanvasWorld.node[1].wlan[0].mac,rcvdPkFromHL:count,,,164,,,,,,,,
General-0-20220829-17:02:36-12114,attr,CanvasWorld.node[1].wlan[0].mac,rcvdPkFromHL:count,interpolationmode,none,,,,,,,,,
General-0-20220829-17:02:36-12114,attr,CanvasWorld.node[1].wlan[0].mac,rcvdPkFromHL:count,source,packetReceivedFromUpper,,,,,,,,,
General-0-20220829-17:02:36-12114,attr,CanvasWorld.node[1].wlan[0].mac,rcvdPkFromHL:count,title,"packets received from higher layer, count",,,,,,,,,
General-0-20220829-17:02:36-12114,scalar,CanvasWorld.node[1].wlan[0].mac,rcvdPkFromHL:sum(packetBytes),,,41172,,,,,,,,
General-0-20220829-17:02:36-12114,attr,CanvasWorld.node[1].wlan[0].mac,rcvdPkFromHL:sum(packetBytes),interpolationmode,none,,,,,,,,,
General-0-20220829-17:02:36-12114,attr,CanvasWorld.node[1].wlan[0].mac,rcvdPkFromHL:sum(packetBytes),source,packetReceivedFromUpper,,,,,,,,,
General-0-20220829-17:02:36-12114,attr,CanvasWorld.node[1].wlan[0].mac,rcvdPkFromHL:sum(packetBytes),title,"packets received from higher layer, sum(packetBytes)",,,,,,,,,
General-0-20220829-17:02:36-12114,scalar,CanvasWorld.node[1].wlan[0].mac,passedUpPk:count,,,513,,,,,,,,
General-0-20220829-17:02:36-12114,attr,CanvasWorld.node[1].wlan[0].mac,passedUpPk:count,interpolationmode,none,,,,,,,,,
General-0-20220829-17:02:36-12114,attr,CanvasWorld.node[1].wlan[0].mac,passedUpPk:count,source,packetSentToUpper,,,,,,,,,
General-0-20220829-17:02:36-12114,attr,CanvasWorld.node[1].wlan[0].mac,passedUpPk:count,title,"packets passed to higher layer, count",,,,,,,,,
General-0-20220829-17:02:36-12114,scalar,CanvasWorld.node[1].wlan[0].mac,passedUpPk:sum(packetBytes),,,127299,,,,,,,,
General-0-20220829-17:02:36-12114,attr,CanvasWorld.node[1].wlan[0].mac,passedUpPk:sum(packetBytes),interpolationmode,none,,,,,,,,,
General-0-20220829-17:02:36-12114,attr,CanvasWorld.node[1].wlan[0].mac,passedUpPk:sum(packetBytes),source,packetSentToUpper,,,,,,,,,
General-0-20220829-17:02:36-12114,attr,CanvasWorld.node[1].wlan[0].mac,passedUpPk:sum(packetBytes),title,"packets passed to higher layer, sum(packetBytes)",,,,,,,,,
General-0-20220829-17:02:36-12114,scalar,CanvasWorld.node[1].wlan[0].radio,transmissionState:count,,,656,,,,,,,,
General-0-20220829-17:02:36-12114,attr,CanvasWorld.node[1].wlan[0].radio,transmissionState:count,interpolationmode,sample-hold,,,,,,,,,
General-0-20220829-17:02:36-12114,attr,CanvasWorld.node[1].wlan[0].radio,transmissionState:count,source,transmissionStateChanged,,,,,,,,,
General-0-20220829-17:02:36-12114,attr,CanvasWorld.node[1].wlan[0].radio,transmissionState:count,title,"Radio transmission state, count",,,,,,,,,
General-0-20220829-17:02:36-12114,scalar,CanvasWorld.node[1].wlan[0].radio,receptionState:count,,,1355,,,,,,,,
General-0-20220829-17:02:36-12114,attr,CanvasWorld.node[1].wlan[0].radio,receptionState:count,interpolationmode,sample-hold,,,,,,,,,
General-0-20220829-17:02:36-12114,attr,CanvasWorld.node[1].wlan[0].radio,receptionState:count,source,receptionStateChanged,,,,,,,,,
General-0-20220829-17:02:36-12114,attr,CanvasWorld.node[1].wlan[0].radio,receptionState:count,title,"Radio reception state, count",,,,,,,,,
General-0-20220829-17:02:36-12114,scalar,CanvasWorld.node[1].wlan[0].radio,radioMode:count,,,330,,,,,,,,
General-0-20220829-17:02:36-12114,attr,CanvasWorld.node[1].wlan[0].radio,radioMode:count,interpolationmode,sample-hold,,,,,,,,,
General-0-20220829-17:02:36-12114,attr,CanvasWorld.node[1].wlan[0].radio,radioMode:count,source,radioModeChanged,,,,,,,,,
General-0-20220829-17:02:36-12114,attr,CanvasWorld.node[1].wlan[0].radio,radioMode:count,title,"Radio mode, count",,,,,,,,,
General-0-20220829-17:02:36-12114,scalar,CanvasWorld.node[1].middleware.DEN,transmission:count,,,0,,,,,,,,
General-0-20220829-17:02:36-12114,attr,CanvasWorld.node[1].middleware.DEN,transmission:count,source,DenmSent,,,,,,,,,
General-0-20220829-17:02:36-12114,scalar,CanvasWorld.node[1].middleware.DEN,reception:count,,,0,,,,,,,,
General-0-20220829-17:02:36-12114,attr,CanvasWorld.node[1].middleware.DEN,reception:count,source,DenmReceived,,,,,,,,,
General-0-20220829-17:02:36-12114,scalar,CanvasWorld.node[2].wlan[0].mac.rx,ChannelLoad:timeavg,,,0.0020714035087719,,,,,,,,
General-0-20220829-17:02:36-12114,scalar,CanvasWorld.node[2].wlan[0].mac,rcvdPkFromLL:count,,,495,,,,,,,,
General-0-20220829-17:02:36-12114,attr,CanvasWorld.node[2].wlan[0].mac,rcvdPkFromLL:count,interpolationmode,none,,,,,,,,,
General-0-20220829-17:02:36-12114,attr,CanvasWorld.node[2].wlan[0].mac,rcvdPkFromLL:count,source,packetReceivedFromLower,,,,,,,,,
General-0-20220829-17:02:36-12114,attr,CanvasWorld.node[2].wlan[0].mac,rcvdPkFromLL:count,title,"packets received from lower layer, count",,,,,,,,,
General-0-20220829-17:02:36-12114,scalar,CanvasWorld.node[2].wlan[0].mac,rcvdPkFromLL:sum(packetBytes),,,124085,,,,,,,,
General-0-20220829-17:02:36-12114,attr,CanvasWorld.node[2].wlan[0].mac,rcvdPkFromLL:sum(packetBytes),interpolationmode,none,,,,,,,,,
General-0-20220829-17:02:36-12114,attr,CanvasWorld.node[2].wlan[0].mac,rcvdPkFromLL:sum(packetBytes),source,packetReceivedFromLower,,,,,,,,,
General-0-20220829-17:02:36-12114,attr,CanvasWorld.node[2].wlan[0].mac,rcvdPkFromLL:sum(packetBytes),title,"packets received from lower layer, sum(packetBytes)",,,,,,,,,
General-0-20220829-17:02:36-12114,scalar,CanvasWorld.node[2].wlan[0].mac,sentDownPk:count,,,180,,,,,,,,
General-0-20220829-17:02:36-12114,attr,CanvasWorld.node[2].wlan[0].mac,sentDownPk:count,interpolationmode,none,,,,,,,,,
General-0-20220829-17:02:36-12114,attr,CanvasWorld.node[2].wlan[0].mac,sentDownPk:count,source,packetSentToLower,,,,,,,,,
